???????,?????????,????,???????2,??????????????3,?????????????4
C1032,?????,??????????,39.65,68,986
C1032,?????,??????????,46.47,69,986
C1032,?????,??????????,51.84,63,986
C1032,?????,??????????,51.92,251,986
C1032,?????,??????????,59.99,171,986
C1032,?????,??????????,59.99,324,986
C2038,?????,??????????,26.37,588,150
C2038,?????,??????????,31.32,90,150
C2038,?????,??????????,40.32,90,150
C2038,??,??????????,19,1,150
C2038,??,??????????,14.1,1,150
C2038,??,??????????,19.31,1,150
C2038,??,??????????,21.19,1,150
C2038,??,??????????,21.19,1,150
C2038,??,??????????,22.95,1,150
C2038,??,??????????,23.4,1,150
C2038,??,??????????,23.4,1,150
C2038,??,??????????,23.4,1,150
C2038,??,??????????,23.4,1,150
C2038,??,??????????,27.23,1,150
C2038,??,??????????,31.85,1,150
C2038,??,??????????,32.29,1,150
C2038,??,??????????,35.13,1,150
C2038,??,??????????,36.47,1,150
C2038,??,??????????,50.08,1,150
C2038,??,??????????,240.22,1,150
C1859,?????,??????????,26.37,1865,487
C1859,?????,??????????,26.37,10,487
C1859,?????,??????????,26.37,10,487
C1859,?????,??????????,31.32,478,487
C1859,?????,??????????,52.74,26,487
C1859,??,??????????,38,1,487
C1859,??,??????????,38,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,31.84,1,487
C1859,??,??????????,37.26,1,487
C1859,??,??????????,37.41,1,487
C1859,??,??????????,37.41,1,487
C1859,??,??????????,37.41,1,487
C1859,??,??????????,37.49,1,487
C1859,??,??????????,37.95,1,487
C1859,??,??????????,37.95,1,487
C1859,??,??????????,38.04,1,487
C1859,??,??????????,39.33,1,487
C1859,??,??????????,39.33,1,487
C1859,??,??????????,39.33,1,487
C1859,??,??????????,54.51,1,487
C1859,??,??????????,54.51,1,487
C1859,??,??????????,54.51,1,487
C1859,??,??????????,54.6,1,487
C1859,??,??????????,54.61,1,487
C1859,??,??????????,75.98,1,487
C1859,??,??????????,126.65,1,487
C1859,??,??????????,583.4,1,487
C1722,?????,??????,37.67,89,264
C1722,?????,??????,49.69,267,264
C1722,?????,??????,49.69,149,264
C1722,?????,??????,26.37,149,264
C1722,?????,??????,31.32,149,264
C1722,??,??????,32.1,1,264
C1722,??,??????,32.1,1,264
C1722,??,??????,32.1,1,264
C1722,??,??????,32.1,1,264
C1722,??,??????,32.1,1,264
C1722,??,??????,72.16,1,264
C1850,?????,?????,39.74,89,226
C1850,?????,?????,49.62,178,226
C1850,?????,?????,49.62,118,226
C2190,?????,?????,26.37,191,178
C2190,?????,?????,26.37,358,178
C2190,?????,?????,26.37,298,178
C2190,?????,?????,31.32,149,178
C2190,??,?????,16,1,178
C2190,??,?????,14.17,1,178
C2190,??,?????,18.9,1,178
C2190,??,?????,20.52,1,178
C2190,??,?????,22.97,1,178
C2190,??,?????,22.97,1,178
C2190,??,?????,23.4,1,178
C2190,??,?????,23.4,1,178
C2190,??,?????,23.4,1,178
C2190,??,?????,23.4,1,178
C2190,??,?????,25.88,1,178
C2190,??,?????,27.3,1,178
C2190,??,?????,29.62,1,178
C2190,??,?????,30.62,1,178
C2190,??,?????,35.91,1,178
C2190,??,?????,44.63,1,178
C2190,??,?????,46.8,1,178
C1476,?????,?????,26.37,298,107
C1476,?????,?????,31.32,149,107
C1476,??,?????,32.1,1,107
C1476,??,?????,32.1,1,107
C1476,??,?????,32.1,1,107
C1476,??,?????,32.1,1,107
C1476,??,?????,32.1,1,107
C1476,??,?????,72.16,1,107
C1077,?????,?????,36.65,258,612
C1077,?????,?????,46.9,277,612
C1077,?????,?????,51.93,326,612
C1068,?????,???????,36.65,200,804
C1068,?????,???????,36.98,130,804
C1068,?????,???????,41.55,252,804
C1068,?????,???????,46.86,44,804
C1068,?????,???????,46.98,88,804
C1068,?????,???????,51.93,91,804
C1983,?????,???????,36,40,200
C1983,?????,???????,35.28,198,200
C1983,?????,???????,35.28,78,200
C1983,?????,???????,26.37,478,200
C1983,?????,???????,31.32,99,200
C1983,??,???????,31.84,1,200
C1983,??,???????,31.84,1,200
C1983,??,???????,31.84,1,200
C1983,??,???????,31.84,1,200
C1983,??,???????,31.84,1,200
C1983,??,???????,31.84,1,200
C1983,??,???????,31.84,1,200
C1983,??,???????,31.84,1,200
C1983,??,???????,63.68,1,200
C1983,??,???????,126.65,1,200
C2135,?????,?•ÎÅç????,26.37,358,262
C2135,?????,?•ÎÅç????,26.37,294,262
C2135,?????,?•ÎÅç????,31.32,447,262
C2135,??,?•ÎÅç????,14.1,1,262
C2135,??,?•ÎÅç????,18.98,1,262
C2135,??,?•ÎÅç????,19.36,1,262
C2135,??,?•ÎÅç????,21.46,1,262
C2135,??,?•ÎÅç????,21.46,1,262
C2135,??,?•ÎÅç????,22.83,1,262
C2135,??,?•ÎÅç????,23.4,1,262
C2135,??,?•ÎÅç????,23.4,1,262
C2135,??,?•ÎÅç????,23.4,1,262
C2135,??,?•ÎÅç????,23.4,1,262
C2135,??,?•ÎÅç????,27.55,1,262
C2135,??,?•ÎÅç????,29.17,1,262
C2135,??,?•ÎÅç????,31.92,1,262
C2135,??,?•ÎÅç????,32.6,1,262
C2135,??,?•ÎÅç????,36.57,1,262
C2135,??,?•ÎÅç????,50.08,1,262
C2135,??,?•ÎÅç????,240.22,1,262
C2034,?????,?•ÎÅç????,26.37,596,405
C2034,?????,?•ÎÅç????,26.37,119,405
C2034,?????,?•ÎÅç????,31.32,745,405
C2034,??,?•ÎÅç????,14.1,1,405
C2034,??,?•ÎÅç????,18.98,1,405
C2034,??,?•ÎÅç????,19.36,1,405
C2034,??,?•ÎÅç????,21.46,1,405
C2034,??,?•ÎÅç????,21.46,1,405
C2034,??,?•ÎÅç????,22.83,1,405
C2034,??,?•ÎÅç????,23.4,1,405
C2034,??,?•ÎÅç????,23.4,1,405
C2034,??,?•ÎÅç????,23.4,1,405
C2034,??,?•ÎÅç????,23.4,1,405
C2034,??,?•ÎÅç????,27.55,1,405
C2034,??,?•ÎÅç????,29.17,1,405
C2034,??,?•ÎÅç????,31.92,1,405
C2034,??,?•ÎÅç????,32.1,1,405
C2034,??,?•ÎÅç????,32.1,1,405
C2034,??,?•ÎÅç????,32.1,1,405
C2034,??,?•ÎÅç????,32.1,1,405
C2034,??,?•ÎÅç????,32.1,1,405
C2034,??,?•ÎÅç????,32.1,1,405
C2034,??,?•ÎÅç????,32.1,1,405
C2034,??,?•ÎÅç????,32.1,1,405
C2034,??,?•ÎÅç????,32.6,1,405
C2034,??,?•ÎÅç????,36.57,1,405
C2034,??,?•ÎÅç????,50.08,1,405
C2034,??,?•ÎÅç????,72.26,1,405
C2034,??,?•ÎÅç????,240.22,1,405
C1109,?????,?•ÎÅç????,26.37,1490,351
C1109,?????,?•ÎÅç????,31.32,447,351
C1109,??,?•ÎÅç????,30,1,351
C1109,??,?•ÎÅç????,21.85,1,351
C1109,??,?•ÎÅç????,21.94,1,351
C1109,??,?•ÎÅç????,21.98,1,351
C1109,??,?•ÎÅç????,21.98,1,351
C1109,??,?•ÎÅç????,21.98,1,351
C1109,??,?•ÎÅç????,21.98,1,351
C1109,??,?•ÎÅç????,22.24,1,351
C1109,??,?•ÎÅç????,23.35,1,351
C1109,??,?•ÎÅç????,25.98,1,351
C1109,??,?•ÎÅç????,26.53,1,351
C1109,??,?•ÎÅç????,28.38,1,351
C1109,??,?•ÎÅç????,28.45,1,351
C1109,??,?•ÎÅç????,33.39,1,351
C1109,??,?•ÎÅç????,33.51,1,351
C1109,??,?•ÎÅç????,33.51,1,351
C1109,??,?•ÎÅç????,33.51,1,351
C1109,??,?•ÎÅç????,36.76,1,351
C1109,??,?•ÎÅç????,52.5,1,351
C1109,??,?•ÎÅç????,401.5,1,351
C1497,?????,?•ÎÅç????,39.41,357,375
C1497,?????,?•ÎÅç????,39.43,445,375
C2289,?????,?•ÎÅç????,26.37,382,240
C2289,?????,?•ÎÅç????,26.37,588,240
C2289,?????,?•ÎÅç????,31.32,239,240
C2289,?????,?•ÎÅç????,31.32,298,240
C2289,??,?•ÎÅç????,38,1,240
C2289,??,?•ÎÅç????,38,1,240
C2289,??,?•ÎÅç????,37.26,1,240
C2289,??,?•ÎÅç????,37.41,1,240
C2289,??,?•ÎÅç????,37.41,1,240
C2289,??,?•ÎÅç????,37.41,1,240
C2289,??,?•ÎÅç????,37.49,1,240
C2289,??,?•ÎÅç????,37.95,1,240
C2289,??,?•ÎÅç????,37.95,1,240
C2289,??,?•ÎÅç????,38.04,1,240
C2289,??,?•ÎÅç????,39.33,1,240
C2289,??,?•ÎÅç????,39.33,1,240
C2289,??,?•ÎÅç????,39.33,1,240
C2289,??,?•ÎÅç????,54.51,1,240
C2289,??,?•ÎÅç????,54.51,1,240
C2289,??,?•ÎÅç????,54.51,1,240
C2289,??,?•ÎÅç????,54.6,1,240
C2289,??,?•ÎÅç????,54.61,1,240
C2289,??,?•ÎÅç????,75.98,1,240
C2289,??,?•ÎÅç????,583.4,1,240
C2597,?????,?•ÎÅç????,26.37,588,166
C2597,?????,?•ÎÅç????,26.37,149,166
C2597,?????,?•ÎÅç????,31.32,239,166
C2597,??,?•ÎÅç????,15,1,166
C2597,??,?•ÎÅç????,19.25,1,166
C2597,??,?•ÎÅç????,19.25,1,166
C2597,??,?•ÎÅç????,22.89,1,166
C2597,??,?•ÎÅç????,23.88,1,166
C2597,??,?•ÎÅç????,23.91,1,166
C2597,??,?•ÎÅç????,24.38,1,166
C2597,??,?•ÎÅç????,24.38,1,166
C2597,??,?•ÎÅç????,27.5,1,166
C2597,??,?•ÎÅç????,27.5,1,166
C2597,??,?•ÎÅç????,27.75,1,166
C2597,??,?•ÎÅç????,27.75,1,166
C2597,??,?•ÎÅç????,27.75,1,166
C2597,??,?•ÎÅç????,27.75,1,166
C2597,??,?•ÎÅç????,27.75,1,166
C2597,??,?•ÎÅç????,27.75,1,166
C2597,??,?•ÎÅç????,27.75,1,166
C2597,??,?•ÎÅç????,28.19,1,166
C2597,??,?•ÎÅç????,28.88,1,166
C2597,??,?•ÎÅç????,28.88,1,166
C2597,??,?•ÎÅç????,28.88,1,166
C2597,??,?•ÎÅç????,28.88,1,166
C2597,??,?•ÎÅç????,28.88,1,166
C2597,??,?•ÎÅç????,42.35,1,166
C2597,??,?•ÎÅç????,42.4,1,166
C2597,??,?•ÎÅç????,55.17,1,166
C2597,??,?•ÎÅç????,55.17,1,166
C2597,??,?•ÎÅç????,55.5,1,166
C2597,??,?•ÎÅç????,248.56,1,166
C2310,?????,?•ÎÅç????,26.37,1074,217
C2310,?????,?•ÎÅç????,26.37,596,217
C2310,?????,?•ÎÅç????,31.32,298,217
C2310,??,?•ÎÅç????,38,1,217
C2310,??,?•ÎÅç????,38,1,217
C2310,??,?•ÎÅç????,37.26,1,217
C2310,??,?•ÎÅç????,37.41,1,217
C2310,??,?•ÎÅç????,37.41,1,217
C2310,??,?•ÎÅç????,37.41,1,217
C2310,??,?•ÎÅç????,37.49,1,217
C2310,??,?•ÎÅç????,37.95,1,217
C2310,??,?•ÎÅç????,37.95,1,217
C2310,??,?•ÎÅç????,38.04,1,217
C2310,??,?•ÎÅç????,39.33,1,217
C2310,??,?•ÎÅç????,39.33,1,217
C2310,??,?•ÎÅç????,39.33,1,217
C2310,??,?•ÎÅç????,54.51,1,217
C2310,??,?•ÎÅç????,54.51,1,217
C2310,??,?•ÎÅç????,54.51,1,217
C2310,??,?•ÎÅç????,54.6,1,217
C2310,??,?•ÎÅç????,54.61,1,217
C2310,??,?•ÎÅç????,75.98,1,217
C2310,??,?•ÎÅç????,583.4,1,217
C1672,?????,?•ÎÅç????,51.88,886,1043
C1672,?????,?•ÎÅç????,59.63,464,1043
C2132,?????,?•ÎÅç????,26.37,358,756
C2132,?????,?•ÎÅç????,26.37,1192,756
C2132,?????,?•ÎÅç????,31.32,239,756
C2132,?????,?•ÎÅç????,31.32,596,756
C2132,??,?•ÎÅç????,15,1,756
C2132,??,?•ÎÅç????,15,1,756
C2132,??,?•ÎÅç????,38,1,756
C2132,??,?•ÎÅç????,38,1,756
C2132,??,?•ÎÅç????,16.57,1,756
C2132,??,?•ÎÅç????,18.38,1,756
C2132,??,?•ÎÅç????,18.38,1,756
C2132,??,?•ÎÅç????,20.9,1,756
C2132,??,?•ÎÅç????,20.9,1,756
C2132,??,?•ÎÅç????,20.9,1,756
C2132,??,?•ÎÅç????,20.9,1,756
C2132,??,?•ÎÅç????,21.94,1,756
C2132,??,?•ÎÅç????,23.35,1,756
C2132,??,?•ÎÅç????,26.25,1,756
C2132,??,?•ÎÅç????,26.25,1,756
C2132,??,?•ÎÅç????,28.38,1,756
C2132,??,?•ÎÅç????,28.5,1,756
C2132,??,?•ÎÅç????,33.15,1,756
C2132,??,?•ÎÅç????,33.31,1,756
C2132,??,?•ÎÅç????,33.39,1,756
C2132,??,?•ÎÅç????,33.51,1,756
C2132,??,?•ÎÅç????,33.51,1,756
C2132,??,?•ÎÅç????,33.51,1,756
C2132,??,?•ÎÅç????,37.26,1,756
C2132,??,?•ÎÅç????,37.41,1,756
C2132,??,?•ÎÅç????,37.41,1,756
C2132,??,?•ÎÅç????,37.41,1,756
C2132,??,?•ÎÅç????,37.49,1,756
C2132,??,?•ÎÅç????,37.95,1,756
C2132,??,?•ÎÅç????,37.95,1,756
C2132,??,?•ÎÅç????,38.04,1,756
C2132,??,?•ÎÅç????,39.33,1,756
C2132,??,?•ÎÅç????,39.33,1,756
C2132,??,?•ÎÅç????,39.33,1,756
C2132,??,?•ÎÅç????,40.39,1,756
C2132,??,?•ÎÅç????,54.51,1,756
C2132,??,?•ÎÅç????,54.51,1,756
C2132,??,?•ÎÅç????,54.51,1,756
C2132,??,?•ÎÅç????,54.6,1,756
C2132,??,?•ÎÅç????,54.61,1,756
C2132,??,?•ÎÅç????,75.98,1,756
C2132,??,?•ÎÅç????,407.97,1,756
C2132,??,?•ÎÅç????,583.4,1,756
C1439,?????,?•ÎÅç????,26.37,1470,270
C1439,?????,?•ÎÅç????,31.32,120,270
C1439,?????,?•ÎÅç????,40.32,120,270
C1439,??,?•ÎÅç????,15,1,270
C1439,??,?•ÎÅç????,15,1,270
C1439,??,?•ÎÅç????,15,1,270
C1439,??,?•ÎÅç????,15,1,270
C1439,??,?•ÎÅç????,16.57,1,270
C1439,??,?•ÎÅç????,16.57,1,270
C1439,??,?•ÎÅç????,18.38,1,270
C1439,??,?•ÎÅç????,18.38,1,270
C1439,??,?•ÎÅç????,18.38,1,270
C1439,??,?•ÎÅç????,18.38,1,270
C1439,??,?•ÎÅç????,20.9,1,270
C1439,??,?•ÎÅç????,20.9,1,270
C1439,??,?•ÎÅç????,20.9,1,270
C1439,??,?•ÎÅç????,20.9,1,270
C1439,??,?•ÎÅç????,20.9,1,270
C1439,??,?•ÎÅç????,20.9,1,270
C1439,??,?•ÎÅç????,20.9,1,270
C1439,??,?•ÎÅç????,20.9,1,270
C1439,??,?•ÎÅç????,21.94,1,270
C1439,??,?•ÎÅç????,21.94,1,270
C1439,??,?•ÎÅç????,23.35,1,270
C1439,??,?•ÎÅç????,23.35,1,270
C1439,??,?•ÎÅç????,26.25,1,270
C1439,??,?•ÎÅç????,26.25,1,270
C1439,??,?•ÎÅç????,26.25,1,270
C1439,??,?•ÎÅç????,26.25,1,270
C1439,??,?•ÎÅç????,28.38,1,270
C1439,??,?•ÎÅç????,28.5,1,270
C1439,??,?•ÎÅç????,28.5,1,270
C1439,??,?•ÎÅç????,33.15,1,270
C1439,??,?•ÎÅç????,33.15,1,270
C1439,??,?•ÎÅç????,33.31,1,270
C1439,??,?•ÎÅç????,33.31,1,270
C1439,??,?•ÎÅç????,33.39,1,270
C1439,??,?•ÎÅç????,33.39,1,270
C1439,??,?•ÎÅç????,33.51,1,270
C1439,??,?•ÎÅç????,33.51,1,270
C1439,??,?•ÎÅç????,33.51,1,270
C1439,??,?•ÎÅç????,33.51,1,270
C1439,??,?•ÎÅç????,33.51,1,270
C1439,??,?•ÎÅç????,40.39,1,270
C1439,??,?•ÎÅç????,40.39,1,270
C1439,??,?•ÎÅç????,61.89,1,270
C1439,??,?•ÎÅç????,404.65,1,270
C1439,??,?•ÎÅç????,404.65,1,270
C1613,?????,?•ÎÅç????,51.49,220,594
C1613,?????,?•ÎÅç????,51.95,454,594
C1613,?????,?•ÎÅç????,59.64,166,594
C2216,?????,???????,39,210,97
C2216,?????,???????,39.39,180,97
C1899,?????,?????,26.37,298,109
C1899,?????,?????,31.32,149,109
C1899,??,?????,32.1,1,109
C1899,??,?????,32.1,1,109
C1899,??,?????,32.1,1,109
C1899,??,?????,32.1,1,109
C1056,?????,????????????,26.34,200,120
C1056,?????,????????????,30.48,200,120
C1056,??,????????????,31.84,1,120
C1056,??,????????????,31.84,1,120
C1056,??,????????????,31.84,1,120
C1056,??,????????????,31.84,1,120
C1056,??,????????????,31.84,1,120
C1056,??,????????????,31.84,1,120
C1056,??,????????????,31.84,1,120
C1056,??,????????????,31.84,1,120
C1056,??,????????????,31.84,1,120
C1056,??,????????????,31.84,1,120
C2644,?????,???????,37.67,89,190
C2644,?????,???????,37.67,298,190
C2644,?????,???????,26.37,239,190
C2644,?????,???????,26.37,149,190
C2644,??,???????,48.9,1,190
C2644,??,???????,49.72,1,190
C2644,??,???????,49.72,1,190
C1206,?????,??????,26.37,239,88
C1206,?????,??????,31.32,239,88
C1206,??,??????,31.84,1,88
C1206,??,??????,31.84,1,88
C1206,??,??????,31.84,1,88
C1206,??,??????,31.84,1,88
C1206,??,??????,31.84,1,88
C1206,??,??????,31.84,1,88
C1206,??,??????,31.84,1,88
C1206,??,??????,31.84,1,88
C1206,??,??????,63.68,1,88
C1206,??,??????,137.49,1,88
C2481,?????,??Åç????,36.8,435,486
C2481,?????,??Åç????,45.48,200,486
C2481,?????,??Åç????,45.98,58,486
C1718,?????,??Åç????,46.9,566,682
C1718,?????,??Åç????,51.93,187,682
C1655,?????,??????,39.54,88,402
C1655,?????,??????,46.79,88,402
C1655,?????,??????,46.9,180,402
C1655,?????,??????,51.93,142,402
C1430,?????,?•ÎÅç????,51.77,223,1296
C1430,?????,?•ÎÅç????,51.86,258,1296
C1430,?????,?•ÎÅç????,59.57,446,1296
C1430,?????,?•ÎÅç????,59.99,606,1296
C1775,?????,????????????,26.34,360,131
C1775,?????,????????????,30.48,336,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
C1775,??,????????????,31.84,1,131
